194,11567133,NULL,NULL
195,11620107,NULL,NULL
196,11583040,NULL,NULL
197,11580607,NULL,NULL
198,11600210,NULL,NULL
199,11600211,NULL,NULL
200,11612527,NULL,NULL
201,11675721,NULL,NULL
202,11731716,0,D004364
203,11686167,NULL,NULL
204,11694165,NULL,NULL
205,11704686,0,D022122
206,11704686,0,D010406
207,11686176,NULL,NULL
208,11748851,0,D008840
209,11748851,0,C045556
210,11748851,9007-49-2,D004247
211,11831940,EC 3.4.24.-,D020782
212,11748856,0,D048868
213,11748856,0,D002352
214,11748856,0,D004268
215,11748856,0,C501486
216,11748856,0,D009363
217,11748856,0,D009687
218,11748856,0,D011518
219,11748856,9007-49-2,D004247
220,11748856,EC 3.6.1.3,C497172
221,11748856,EC 3.6.1.3,D051718
222,11838066,NULL,NULL
223,11858625,NULL,NULL
224,11858276,NULL,NULL
225,11885531,0,D000900
226,11869993,0,D000975
227,11869993,0,D014815
228,11869993,J41CSQ7QDS,D015032
229,11892742,0,D018076
230,11892742,0,D006657
231,11892742,0,D012333
232,11892742,63231-63-0,D012313
233,11876201,NULL,NULL
234,11916658,NULL,NULL
235,11953811,NULL,NULL
236,12038483,BBX060AN9V,D006861
237,11966386,NULL,NULL
238,12101218,0,D001426
239,12101218,0,D003598
240,12101218,0,D017931
241,12101218,0,C071525
242,12101218,0,D008565
243,12101218,125724-13-2,C061684
244,12159900,NULL,NULL
245,12211241,NULL,NULL
246,12145319,0,D002352
247,12145319,0,D008565
248,12145319,0,D009419
249,12145319,0,D050765
250,12145319,0,D011993
251,12145319,0,C494208
252,12145319,0,D050600
253,12145319,0,C494212
254,12145319,0,C465215
255,12145319,0,C494210
256,12145319,0,C494213
257,12145319,0,D050825
258,12145319,0,D050827
259,12145319,0,D033921
260,12145319,EC 2.5.1.18,D005982
261,12145319,X4W3ENH1CV,D009638
262,12174865,NULL,NULL
263,12192682,NULL,NULL
264,12179763,NULL,NULL
265,12211266,NULL,NULL
266,12219757,NULL,NULL
267,12230384,NULL,NULL
268,12230355,NULL,NULL
269,12227380,NULL,NULL
270,12349809,NULL,NULL
271,12599353,NULL,NULL
272,12369570,NULL,NULL
273,12501715,NULL,NULL
274,12599354,NULL,NULL
275,13072632,0,D004952
276,13072632,0,D007306
277,13072632,0,D010755
278,13072632,0,D010710
279,12416895,11056-06-7,D001761
280,12416895,35S93Y190K,D011344
281,12416895,50D9XSG0VR,D008466
282,12416895,5J49Q6B70F,D014750
283,12416895,5V9KLZ54CY,D014747
284,12416895,7BRF0Z81KG,D008130
285,12416895,7GR28W0FJI,D003606
286,12416895,80168379AG,D004317
287,12416895,VB0R961HZT,D011241
288,12742518,0,D002227
289,12742518,0,D050483
290,12742518,0,D018765
291,12742518,0,D017480
292,12742518,C3N1PS8CX1,C034931
293,12742518,I5Y540LHVR,D003042
294,12742516,0,D000975
295,12742516,0,D033681
296,12742516,0,D010879
297,12742516,0,C416838
298,12742516,0,C120771
299,12742516,53-59-8,D009249
300,12742516,SY7Q814VUP,D002118
301,14594616,NULL,NULL
302,13634534,27YLU75U4W,D010758
303,13634534,SY7Q814VUP,D002118
304,14337379,333DO1RDJY,D012701
305,12742519,0,D014150
306,12742519,0,D065127
307,12742519,0,D058830
308,12742519,FST467XS7D,D012439
309,12742519,L6UH7ZF8HC,D018967
310,14177620,0,D002914
311,14177620,0,D008055
312,14177620,0,D008074
313,14316043,NULL,NULL
314,14668029,0,D010975
315,14668029,0,D058921
316,14668029,0,D058925
317,14668029,A74586SNO7,C055162
318,14668029,OM90ZUW7M1,D013988
319,14695699,0,D004232
320,14695699,7LXU5N7ZO5,D005665
321,14695699,9NEZ333N27,D012964
322,14668030,0,D015850
323,14729922,0,D000596
