1,D000001,D03.633.100.221.173
2,D000002,D02.705.400.625.800
3,D000002,D02.705.539.345.800
4,D000002,D02.886.300.692.800
5,D000003,J01.576.423.200.700.100
6,D000003,J03.540.020
7,D000004,L01.143.506.598.400.556.131
8,D000005,A01.923.047
9,D000006,C10.597.617.044.200
10,D000006,C23.888.592.612.054.200
11,D000006,C23.888.821.030.249
12,D000007,C26.017
13,D000008,C04.588.033
14,D000009,A02.633.567.050
15,D000010,A08.800.800.120.030
16,D000011,B04.613.807.375.525.020
17,D000011,B04.820.650.375.525.020
18,D000012,C16.320.565.398.500.440.500
19,D000012,C18.452.584.500.875.440.500
20,D000012,C18.452.648.398.500.440.500
21,D000013,C16.131
22,D000014,C16.131.042
23,D000015,C16.131.077
24,D000016,C16.131.080
25,D000016,C26.733.031
26,D000016,G01.750.748.500.031
27,D000016,N06.850.460.350.850.500.031
28,D000016,N06.850.810.300.360.031
29,D000017,D23.050.301.290.031
30,D000017,D23.050.705.230.031
31,D000018,A13.869.106
32,D000019,D27.505.696.875.131
33,D000019,D27.505.954.705.131
34,D000020,D27.505.696.875.131.100
35,D000020,D27.505.954.705.131.100
36,D000021,D27.505.696.875.131.200
37,D000021,D27.505.954.705.131.200
38,D000022,C13.703.039
39,D000023,M01.050
40,D000024,I01.198.240.089
41,D000025,E04.520.050.050
42,D000026,C13.703.039.089
43,D000027,C13.703.039.093
44,D000028,E04.520.050
45,D000029,E04.520.050.055
46,D000030,C13.703.039.173
47,D000031,C01.539.674.173
48,D000031,C13.703.039.256
49,D000031,C13.703.700.173
50,D000032,E04.520.050.060
51,D000033,C13.703.039.339
52,D000034,C13.703.039.422
53,D000034,C22.021
54,D000035,F04.754.720.107
55,D000036,D08.811.277.450.430.700.750.111
56,D000036,D12.776.503.499.249
57,D000036,D12.776.765.678.906.111
58,D000037,C13.703.420.078
59,D000037,C13.703.590.132
60,D000038,C01.539.830.025
61,D000038,C23.550.470.756.100
62,D000039,C01.539.830.025.675
63,D000039,C07.550.781.750.500
64,D000039,C08.730.561.750.500
65,D000039,C09.775.649.750.500
66,D000040,D02.241.223.268.034
67,D000040,D02.455.326.271.665.202.061
68,D000040,D02.455.426.392.368.367.379.249.024
69,D000040,D02.455.849.131.061
70,D000040,D02.455.849.765.033
71,D000041,F02.784.692.107
72,D000042,G01.015
73,D000042,G02.010
74,D000042,G03.015
75,D000042,G03.787.024
76,D000042,G07.690.725.015
77,D000043,L01.453.245.100
78,D000044,E06.780.346.500
79,D000044,E07.695.190.175
80,D000045,B01.650.940.800.575.100.401.025
81,D000046,N02.278.020
82,D000047,N03.540.052
83,D000048,B01.046.500.100.075.080
84,D000049,B01.050.500.500.132
85,D000050,A11.118.290.330.100
86,D000050,A11.443.240.330.100
87,D000050,A15.145.229.334.330.100
88,D000051,C17.800.865.070
89,D000051,C23.550.035
90,D000052,C17.800.621.430.530.100
91,D000053,B01.050.500.131.166.132
92,D000054,G01.482.107
93,D000055,A08.800.800.120.060
94,D000056,N06.850.135.060
95,D000057,F01.145.015
96,D000058,N06.850.135.122
97,D000059,N06.850.135
98,D000060,N06.850.135.185
99,D000061,N06.850.135.217
100,D000062,N06.850.135.240
101,D000063,N06.850.135.392
102,D000064,G07.025.133
103,D000064,G16.012.500.133
104,D000065,G14.010
105,D000066,N03.219.463.030
106,D000066388,J01.576.655.875.750
107,D000066428,J01.576.655.875.200
108,D000066448,F01.145.250.250
109,D000066448,F01.145.263.500
110,D000066448,I01.880.735.223.250
111,D000066448,I03.125.649
112,D000066449,A11.872.700.250.750
113,D000066450,A11.872.700.250.875
114,D000066473,A11.497.124
115,D000066473,A11.872.700.250.625
116,D000066477,I03.946.675
117,D000066479,F01.145.250
118,D000066491,E01.055
119,D000066492,G07.345.124.260
120,D000066494,F04.096.628.255.500
